PFMA,YEAR,MONTH,TYPE,PREFERRED_COMMON_NAME,HART_CD,ESTIMATE,STANDARD_ERROR
Area 123,2013,7,Kept,CHINOOK SALMON,124,9420,2635.79
Area 123,2013,7,Released,CHINOOK SALMON,124,11520,3994.87
Area 124,2013,7,Kept,CHINOOK SALMON,124,2216,336.33
Area 124,2013,7,Released,CHINOOK SALMON,124,1323,267.63
Area 125,2013,7,Kept,CHINOOK SALMON,124,973,202.21
Area 125,2013,7,Released,CHINOOK SALMON,124,385,106.10
Area 127,2013,7,Kept,CHINOOK SALMON,124,2963,312.50
Area 127,2013,7,Released,CHINOOK SALMON,124,1442,213.70
Area 13,2013,7,Kept,CHINOOK SALMON,124,4460,417.61
Area 13,2013,7,Released,CHINOOK SALMON,124,5719,608.89
Area 14,2013,7,Kept,CHINOOK SALMON,124,709,186.43
Area 14,2013,7,Released,CHINOOK SALMON,124,5766,927.93
Area 17,2013,7,Kept,CHINOOK SALMON,124,457,111.10
Area 17,2013,7,Released,CHINOOK SALMON,124,3157,800.30
Area 18,2013,7,Kept,CHINOOK SALMON,124,29,26.33
Area 18,2013,7,Released,CHINOOK SALMON,124,56,32.41
Area 19 (GS),2013,7,Kept,CHINOOK SALMON,124,1,1.80
Area 19 (GS),2013,7,Released,CHINOOK SALMON,124,6,4.93
Area 19 (JDF),2013,7,Kept,CHINOOK SALMON,124,780,148.05
Area 19 (JDF),2013,7,Released,CHINOOK SALMON,124,504,282.73
Area 20 (East),2013,7,Kept,CHINOOK SALMON,124,3033,432.22
Area 20 (East),2013,7,Released,CHINOOK SALMON,124,1423,306.33
Area 20 (West),2013,7,Kept,CHINOOK SALMON,124,2802,366.38
Area 20 (West),2013,7,Released,CHINOOK SALMON,124,2847,577.02
Area 21,2013,7,Kept,CHINOOK SALMON,124,25,15.21
Area 21,2013,7,Released,CHINOOK SALMON,124,25,24.84
Area 23 (Alberni Canal),2013,7,Kept,CHINOOK SALMON,124,0,0.00
Area 23 (Alberni Canal),2013,7,Released,CHINOOK SALMON,124,72,40.38
Area 23 (Barkley),2013,7,Kept,CHINOOK SALMON,124,2918,370.84
Area 23 (Barkley),2013,7,Released,CHINOOK SALMON,124,3711,633.23
Area 24,2013,7,Kept,CHINOOK SALMON,124,1201,221.42
Area 24,2013,7,Released,CHINOOK SALMON,124,270,87.20
Area 25,2013,7,Kept,CHINOOK SALMON,124,7400,1218.92
Area 25,2013,7,Released,CHINOOK SALMON,124,4705,820.04
Area 27,2013,7,Kept,CHINOOK SALMON,124,1355,115.06
Area 27,2013,7,Released,CHINOOK SALMON,124,850,94.97
Area 28,2013,7,Kept,CHINOOK SALMON,124,124,55.33
Area 28,2013,7,Released,CHINOOK SALMON,124,423,201.26
Area 29,2013,7,Kept,CHINOOK SALMON,124,60,52.11
Area 29,2013,7,Released,CHINOOK SALMON,124,99,62.00
Area 3,2013,7,Kept,CHINOOK SALMON,124,1525,240.52
Area 3,2013,7,Released,CHINOOK SALMON,124,243,97.57
Area 4,2013,7,Kept,CHINOOK SALMON,124,2950,270.60
Area 4,2013,7,Released,CHINOOK SALMON,124,563,108.04
Area 11,2013,8,Kept,CHINOOK SALMON,124,1067,275.29
Area 11,2013,8,Released,CHINOOK SALMON,124,240,92.67
Area 12,2013,8,Kept,CHINOOK SALMON,124,1507,166.71
Area 12,2013,8,Released,CHINOOK SALMON,124,2200,354.16
Area 121,2013,8,Kept,CHINOOK SALMON,124,4672,797.47
Area 121,2013,8,Released,CHINOOK SALMON,124,3029,1025.58
Area 123,2013,8,Kept,CHINOOK SALMON,124,9310,4021.68
Area 123,2013,8,Released,CHINOOK SALMON,124,11918,6061.83
Area 124,2013,8,Kept,CHINOOK SALMON,124,1551,486.95
Area 124,2013,8,Released,CHINOOK SALMON,124,862,356.74
Area 125,2013,8,Kept,CHINOOK SALMON,124,2084,390.83
Area 125,2013,8,Released,CHINOOK SALMON,124,922,470.10
Area 127,2013,8,Kept,CHINOOK SALMON,124,2865,409.15
Area 127,2013,8,Released,CHINOOK SALMON,124,773,169.43
Area 13,2013,8,Kept,CHINOOK SALMON,124,3884,503.32
Area 13,2013,8,Released,CHINOOK SALMON,124,9881,1609.70
Area 14,2013,8,Kept,CHINOOK SALMON,124,2512,511.60
Area 14,2013,8,Released,CHINOOK SALMON,124,9007,1575.91
Area 17,2013,8,Kept,CHINOOK SALMON,124,282,128.97
Area 17,2013,8,Released,CHINOOK SALMON,124,2138,546.64
Area 18,2013,8,Kept,CHINOOK SALMON,124,376,152.25
Area 18,2013,8,Released,CHINOOK SALMON,124,633,326.21
Area 19 (JDF),2013,8,Kept,CHINOOK SALMON,124,687,116.24
Area 19 (JDF),2013,8,Released,CHINOOK SALMON,124,200,54.30
Area 20 (East),2013,8,Kept,CHINOOK SALMON,124,10032,670.63
Area 20 (East),2013,8,Released,CHINOOK SALMON,124,7906,949.42
Area 20 (West),2013,8,Kept,CHINOOK SALMON,124,5733,860.83
Area 20 (West),2013,8,Released,CHINOOK SALMON,124,4018,675.53
Area 21,2013,8,Kept,CHINOOK SALMON,124,33,21.64
Area 21,2013,8,Released,CHINOOK SALMON,124,0,0.00
Area 23 (Alberni Canal),2013,8,Kept,CHINOOK SALMON,124,0,0.00
Area 23 (Alberni Canal),2013,8,Released,CHINOOK SALMON,124,1320,336.93
Area 23 (Barkley),2013,8,Kept,CHINOOK SALMON,124,2940,651.52
Area 23 (Barkley),2013,8,Released,CHINOOK SALMON,124,1431,432.83
Area 24,2013,8,Kept,CHINOOK SALMON,124,213,41.07
Area 24,2013,8,Released,CHINOOK SALMON,124,783,173.45
Area 25,2013,8,Kept,CHINOOK SALMON,124,8665,1347.18
Area 25,2013,8,Released,CHINOOK SALMON,124,7156,1210.88
Area 27,2013,8,Kept,CHINOOK SALMON,124,1154,81.25
Area 27,2013,8,Released,CHINOOK SALMON,124,500,49.37
Area 28,2013,8,Kept,CHINOOK SALMON,124,72,34.80
Area 28,2013,8,Released,CHINOOK SALMON,124,307,282.94
Area 29,2013,8,Kept,CHINOOK SALMON,124,824,278.55
Area 29,2013,8,Released,CHINOOK SALMON,124,1130,459.37
Area 121,2013,9,Kept,CHINOOK SALMON,124,654,215.35
Area 121,2013,9,Released,CHINOOK SALMON,124,55,49.58
Area 123,2013,9,Kept,CHINOOK SALMON,124,1188,162.12
Area 123,2013,9,Released,CHINOOK SALMON,124,1111,179.12
Area 124,2013,9,Kept,CHINOOK SALMON,124,13,5.29
Area 124,2013,9,Released,CHINOOK SALMON,124,0,0.00
Area 13,2013,9,Kept,CHINOOK SALMON,124,534,113.44
Area 13,2013,9,Released,CHINOOK SALMON,124,3354,576.15
Area 19 (JDF),2013,9,Kept,CHINOOK SALMON,124,365,101.58
Area 19 (JDF),2013,9,Released,CHINOOK SALMON,124,245,109.06
Area 20 (East),2013,9,Kept,CHINOOK SALMON,124,1753,688.42
Area 20 (East),2013,9,Released,CHINOOK SALMON,124,2457,1614.09
Area 20 (West),2013,9,Kept,CHINOOK SALMON,124,1094,165.33
Area 20 (West),2013,9,Released,CHINOOK SALMON,124,334,103.77
